#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2020,1,1,0,0,289,1.4,2.4,99,99,99,999,1018.2,15.7,15.3,12.7,99,99
2020,1,1,0,10,260,2.6,4,99,99,99,999,1018.3,15.6,15.3,12.9,99,99
2020,1,1,0,20,246,4.3,5.7,99,99,99,999,1018.4,15.1,15.3,13.9,99,99
2020,1,1,0,30,258,4.4,5.8,99,99,99,999,1018.4,14.7,15.3,13.6,99,99
2020,1,1,0,40,261,4.1,5.7,1.41,9.09,7.51,258,1018.4,14.6,15.3,13.4,99,99
2020,1,1,0,50,263,4.5,5.9,99,99,99,999,1018.4,14.5,15.3,13.3,99,99
2020,1,1,1,0,268,4.2,5.7,99,99,99,999,1018.5,14.5,15.3,13.3,99,99
2020,1,1,1,10,262,3.6,4.9,99,99,99,999,1018.4,14.6,15.3,13.8,99,99
2020,1,1,1,20,263,3.2,4.3,99,99,99,999,1018.2,14.5,15.2,13.8,99,99
2020,1,1,1,30,273,2.3,3.7,99,99,99,999,1018.2,14.5,15.2,13.8,99,99
2020,1,1,1,40,263,2.1,3.6,1.37,12.9,7.41,261,1018.2,14.6,15.2,14,99,99
2020,1,1,1,50,248,2.8,5.1,99,99,99,999,1018.4,14.7,15.2,14.2,99,99
2020,1,1,2,0,256,3.4,4.9,99,99,99,999,1018.3,14.6,15.2,14.3,99,99
2020,1,1,2,10,262,2.1,3.7,99,99,99,999,1018.1,14.6,15.2,14.3,99,99
2020,1,1,2,20,229,2.5,4.1,99,99,99,999,1018.2,14.6,15.2,14.3,99,99
2020,1,1,2,30,216,2.5,3.8,99,99,99,999,1018.3,14.6,15.1,14.4,99,99
2020,1,1,2,40,213,2,3.3,1.42,12.9,7.45,255,1018.2,14.6,15.1,14.3,99,99
2020,1,1,2,50,222,2.3,3.7,99,99,99,999,1018.3,14.6,15.2,14.2,99,99
2020,1,1,3,0,214,1.8,2.9,99,99,99,999,1018.3,14.7,15.3,13.9,99,99
2020,1,1,3,10,220,2.7,4,99,99,99,999,1018.4,14.8,15.3,14.3,99,99
2020,1,1,3,20,227,2.2,3.6,99,99,99,999,1018.3,14.7,15.4,14.4,99,99
2020,1,1,3,30,230,2,2.9,99,99,99,999,1018.3,14.7,15.4,14.4,99,99
2020,1,1,3,40,225,2.2,3.5,1.41,13.79,7.53,244,1018.3,14.7,15.4,14.4,99,99
2020,1,1,3,50,219,2,3.5,99,99,99,999,1018.5,14.6,15.5,14.5,99,99
2020,1,1,4,0,225,2.2,3.3,99,99,99,999,1018.6,14.6,15.5,14.5,99,99
2020,1,1,4,10,232,2.5,3.8,99,99,99,999,1018.8,14.6,15.5,14.4,99,99
2020,1,1,4,20,242,2,3.4,99,99,99,999,1018.9,14.8,15.5,14.4,99,99
2020,1,1,4,30,200,1.2,1.9,99,99,99,999,1018.9,14.8,15.5,14.3,99,99
2020,1,1,4,40,202,2.1,2.9,1.46,11.43,7.58,258,1018.7,14.9,15.6,14.4,99,99
2020,1,1,4,50,193,2.3,3,99,99,99,999,1018.7,14.9,15.6,14.3,99,99
2020,1,1,5,0,181,1.8,2.4,99,99,99,999,1018.7,14.9,15.6,14.6,99,99
2020,1,1,5,10,184,1.7,2.4,99,99,99,999,1018.8,14.7,15.6,14.3,99,99
2020,1,1,5,20,204,1.6,2.2,99,99,99,999,1018.9,14.8,15.6,14.2,99,99
2020,1,1,5,30,200,1.5,2.1,99,99,99,999,1018.9,14.7,15.6,14,99,99
2020,1,1,5,40,181,1.8,2.4,1.47,12.9,7.23,252,1018.9,14.8,15.6,14.1,99,99
2020,1,1,5,50,161,2,3.1,99,99,99,999,1018.8,14.7,15.6,14,99,99
2020,1,1,6,0,166,2.3,3.2,99,99,99,999,1018.9,14.8,15.6,14.1,99,99
2020,1,1,6,10,168,2.2,3,99,99,99,999,1019.1,14.9,15.5,14.4,99,99
2020,1,1,6,20,185,2.5,3.1,99,99,99,999,1019.2,14.7,15.5,14.3,99,99
2020,1,1,6,30,190,2.4,2.9,99,99,99,999,1018.9,14.8,15.5,14.4,99,99
2020,1,1,6,40,194,2.8,3.7,1.47,13.79,7.55,244,1018.9,14.6,15.5,14.3,99,99
2020,1,1,6,50,181,3,3.9,99,99,99,999,1018.9,14.6,15.5,14.2,99,99
